freq,lemma,gramm,total,sg.nom,sg.gen,sg.dat,sg.acc,sg.ins,sg.loc,pl.nom,pl.gen,pl.dat,pl.acc,pl.ins,pl.loc
2651,человек,Masc.Anim,2651,14.79,14.22,2.60,4.15,2.83,0.49,21.69,25.84,3.66,5.55,3.73,0.45
587,ученый,Masc.Anim,587,8.86,4.94,1.36,1.36,1.70,0.00,43.61,25.04,5.11,3.07,4.94,0.00
581,президент,Masc.Anim,581,35.28,33.91,8.26,4.99,11.19,1.38,3.27,1.03,0.00,0.17,0.52,0.00
506,ребенок,Masc.Anim,506,7.91,10.87,2.57,4.15,3.16,0.40,18.77,24.90,7.51,11.66,6.92,1.19
470,друг,Masc.Anim,470,40.85,8.94,7.23,12.77,8.94,0.64,8.30,5.74,1.49,1.91,3.19,0.00
340,специалист,Masc.Anim,340,9.41,2.94,0.29,0.59,2.06,0.00,33.24,32.94,4.12,6.18,7.35,0.88
297,отец,Masc.Anim,297,46.13,17.85,10.10,12.79,7.74,1.01,0.67,2.69,0.67,0.34,0.00,0.00
292,министр,Masc.Anim,292,49.66,19.86,3.42,2.40,7.19,0.00,4.11,12.33,0.00,0.34,0.34,0.34
288,гражданин,Masc.Anim,288,7.64,6.94,1.74,0.35,2.08,0.00,18.40,45.14,5.56,8.33,3.82,0.00
257,директор,Masc.Anim,257,61.87,17.12,4.28,2.33,6.23,0.00,1.95,5.84,0.00,0.00,0.39,0.00
248,студент,Masc.Anim,248,8.87,3.23,2.82,2.02,2.02,0.00,22.18,41.94,7.66,4.84,4.03,0.40
234,участник,Masc.Anim,234,5.56,2.56,0.00,0.00,4.70,0.00,29.49,36.32,5.56,3.42,11.54,0.85
232,член,Masc.Anim,232,15.09,7.33,0.86,1.29,9.48,0.00,20.26,27.59,4.74,5.17,7.33,0.86
223,лидер,Masc.Anim,223,17.94,16.14,1.79,4.04,8.52,0.00,18.83,18.83,3.14,2.69,7.62,0.45
222,эксперт,Masc.Anim,222,20.72,6.31,0.45,0.00,1.35,0.00,37.84,26.58,1.35,2.25,3.15,0.00
222,сотрудник,Masc.Anim,222,14.86,1.35,0.90,2.25,4.05,0.00,26.58,31.08,4.95,4.95,7.66,1.35
219,врач,Masc.Anim,219,20.55,16.44,5.94,1.37,7.76,0.46,25.57,14.16,5.94,0.46,0.91,0.46
218,немец,Masc.Anim,218,9.63,1.38,0.46,2.29,1.38,0.00,34.86,29.36,6.88,6.42,5.05,2.29
208,автор,Masc.Anim,208,25.48,13.94,2.40,2.40,4.81,0.96,25.96,16.83,2.88,1.92,2.40,0.00
192,кто-то,Masc.Anim,192,61.46,6.77,15.10,11.98,3.65,1.04,0.00,0.00,0.00,0.00,0.00,0.00
183,депутат,Masc.Anim,183,21.31,13.66,1.09,3.28,4.37,0.55,24.59,22.95,2.19,3.28,2.19,0.55
180,чиновник,Masc.Anim,180,10.00,5.56,0.56,1.11,1.11,0.00,35.00,31.11,3.89,8.33,3.33,0.00
167,пилот,Masc.Anim,167,27.54,13.17,0.60,4.19,2.99,0.00,25.15,19.16,1.80,2.40,2.40,0.60
156,кандидат,Masc.Anim,156,24.36,17.31,3.85,5.13,3.21,0.64,10.90,24.36,0.64,2.56,5.77,1.28
149,сын,Masc.Anim,149,40.94,16.11,9.40,18.12,6.71,1.34,1.34,5.37,0.00,0.00,0.67,0.00
144,игрок,Masc.Anim,144,31.25,13.19,4.17,2.78,5.56,0.00,13.19,21.53,2.08,2.78,3.47,0.00
141,начальник,Masc.Anim,141,49.65,19.86,3.55,2.84,9.22,0.00,4.96,5.67,1.42,0.71,1.42,0.71
134,профессор,Masc.Anim,134,52.24,19.40,1.49,0.75,8.21,0.00,7.46,7.46,0.00,1.49,1.49,0.00
128,работник,Masc.Anim,128,6.25,8.59,0.00,1.56,0.00,0.00,18.75,44.53,6.25,10.16,3.12,0.78
128,журналист,Masc.Anim,128,11.72,3.12,3.12,0.00,5.47,0.78,21.88,21.88,21.09,5.47,5.47,0.00
125,робот,Masc.Anim,125,11.20,16.00,4.00,2.40,5.60,0.00,12.80,39.20,1.60,1.60,4.00,1.60
121,политик,Masc.Anim,121,16.53,5.79,1.65,3.31,8.26,3.31,23.14,26.45,1.65,6.61,2.48,0.83
117,академик,Masc.Anim,117,48.72,19.66,2.56,2.56,4.27,0.85,6.84,11.97,0.00,0.00,2.56,0.00
113,господин,Masc.Anim,113,54.87,15.04,5.31,6.19,3.54,0.00,11.50,1.77,0.00,1.77,0.00,0.00
112,противник,Masc.Anim,112,8.93,32.14,2.68,5.36,10.71,0.00,16.96,13.39,0.89,6.25,2.68,0.00
108,экономист,Masc.Anim,108,28.70,8.33,0.93,1.85,1.85,0.00,17.59,25.93,5.56,5.56,3.70,0.00
107,враг,Masc.Anim,107,8.41,6.54,5.61,3.74,12.15,0.93,17.76,18.69,3.74,7.48,14.95,0.00
103,клиент,Masc.Anim,103,13.59,13.59,2.91,1.94,5.83,0.00,15.53,27.18,4.85,6.80,5.83,1.94
103,больной,Masc.Anim,103,3.88,19.42,7.77,2.91,2.91,0.00,14.56,32.04,6.80,6.80,2.91,0.00
103,американец,Masc.Anim,103,8.74,1.94,0.97,0.00,2.91,0.00,45.63,22.33,7.77,6.80,2.91,0.00
100,солдат,Masc.Anim,100,22.00,6.00,3.00,4.00,2.00,0.00,21.00,28.00,6.00,7.00,0.00,1.00
100,россиянин,Masc.Anim,100,13.00,3.00,1.00,1.00,0.00,0.00,21.00,49.00,4.00,3.00,5.00,0.00
99,инвестор,Masc.Anim,99,8.08,5.05,1.01,1.01,1.01,0.00,24.24,34.34,10.10,11.11,4.04,0.00
97,премьер,Masc.Anim,97,38.14,26.80,6.19,6.19,11.34,3.09,4.12,3.09,0.00,0.00,1.03,0.00
97,историк,Masc.Anim,97,26.80,13.40,0.00,0.00,2.06,0.00,23.71,26.80,2.06,2.06,2.06,1.03
97,выпускник,Masc.Anim,97,9.28,7.22,2.06,3.09,1.03,1.03,30.93,39.18,3.09,1.03,2.06,0.00
96,инженер,Masc.Anim,96,29.17,5.21,1.04,1.04,10.42,1.04,22.92,14.58,1.04,7.29,6.25,0.00
93,ученик,Masc.Anim,93,18.28,9.68,5.38,3.23,5.38,1.08,15.05,23.66,1.08,6.45,6.45,4.30
90,герой,Masc.Anim,90,15.56,13.33,3.33,4.44,8.89,1.11,17.78,15.56,4.44,7.78,5.56,2.22
89,спортсмен,Masc.Anim,89,5.62,5.62,5.62,1.12,3.37,1.12,34.83,25.84,10.11,4.49,2.25,0.00
85,товарищ,Masc.Anim,85,31.76,8.24,0.00,1.18,3.53,1.18,20.00,21.18,3.53,2.35,4.71,2.35
85,корреспондент,Masc.Anim,85,54.12,7.06,17.65,2.35,3.53,0.00,9.41,1.18,2.35,1.18,1.18,0.00
84,террорист,Masc.Anim,84,5.95,3.57,3.57,0.00,2.38,0.00,33.33,28.57,7.14,2.38,13.10,0.00
84,рабочий,Masc.Anim,84,2.38,4.76,1.19,0.00,1.19,0.00,23.81,48.81,8.33,3.57,4.76,1.19
82,пациент,Masc.Anim,82,12.20,20.73,7.32,8.54,2.44,1.22,9.76,24.39,6.10,7.32,0.00,0.00
81,еврей,Masc.Anim,81,11.11,8.64,0.00,4.94,2.47,0.00,13.58,32.10,14.81,6.17,4.94,1.23
81,владелец,Masc.Anim,81,19.75,9.88,12.35,2.47,7.41,0.00,18.52,18.52,2.47,4.94,2.47,1.23
80,брат,Masc.Anim,80,22.50,15.00,10.00,2.50,2.50,1.25,17.50,15.00,7.50,2.50,3.75,0.00
79,муж,Masc.Anim,79,34.18,16.46,7.59,8.86,16.46,1.27,6.33,6.33,1.27,1.27,0.00,0.00
78,сторонник,Masc.Anim,78,7.69,0.00,0.00,2.56,7.69,0.00,25.64,30.77,3.85,8.97,12.82,0.00
75,физик,Masc.Anim,75,24.00,9.33,2.67,0.00,4.00,2.67,26.67,21.33,4.00,1.33,4.00,0.00
74,чемпион,Masc.Anim,74,14.86,21.62,1.35,5.41,25.68,0.00,1.35,16.22,2.70,4.05,6.76,0.00
74,художник,Masc.Anim,74,25.68,20.27,4.05,5.41,0.00,0.00,16.22,18.92,2.70,2.70,2.70,1.35
74,сосед,Masc.Anim,74,4.05,9.46,5.41,5.41,6.76,1.35,18.92,21.62,12.16,1.35,13.51,0.00
74,доктор,Masc.Anim,74,58.11,20.27,2.70,1.35,6.76,1.35,2.70,5.41,0.00,1.35,0.00,0.00
74,губернатор,Masc.Anim,74,32.43,22.97,8.11,2.70,5.41,0.00,2.70,17.57,2.70,4.05,1.35,0.00
72,генерал,Masc.Anim,72,36.11,30.56,4.17,0.00,8.33,0.00,6.94,6.94,0.00,5.56,1.39,0.00
70,партнер,Masc.Anim,70,12.86,17.14,1.43,8.57,4.29,0.00,18.57,18.57,2.86,7.14,8.57,0.00
68,юрист,Masc.Anim,68,19.12,7.35,1.47,2.94,5.88,0.00,17.65,26.47,1.47,7.35,10.29,0.00
68,командир,Masc.Anim,68,48.53,20.59,0.00,5.88,8.82,0.00,1.47,10.29,1.47,0.00,2.94,0.00
67,коммунист,Masc.Anim,67,13.43,2.99,1.49,1.49,7.46,0.00,25.37,31.34,2.99,7.46,5.97,0.00
67,заложник,Masc.Anim,67,2.99,0.00,0.00,4.48,1.49,0.00,11.94,50.75,2.99,16.42,4.48,4.48
65,разработчик,Masc.Anim,65,7.69,0.00,0.00,0.00,3.08,0.00,41.54,38.46,1.54,0.00,7.69,0.00
65,мальчик,Masc.Anim,65,38.46,6.15,1.54,10.77,9.23,3.08,7.69,12.31,0.00,7.69,0.00,3.08
65,конструктор,Masc.Anim,65,24.62,12.31,1.54,0.00,1.54,0.00,24.62,27.69,4.62,1.54,1.54,0.00
65,бог,Masc.Anim,65,36.92,6.15,21.54,3.08,4.62,0.00,9.23,9.23,0.00,1.54,3.08,0.00
64,дед,Masc.Anim,64,51.56,20.31,7.81,4.69,3.12,3.12,1.56,6.25,0.00,1.56,0.00,0.00
63,офицер,Masc.Anim,63,12.70,11.11,1.59,4.76,3.17,0.00,15.87,38.10,3.17,7.94,1.59,0.00
